name,place,date,price,url,city,scraped_at
"RÊVE(S) COMÉDIE NOIRE"" DE JALILA BACCAR ET FADHEL JAIBI LE 17-JAN",Cinéma Théâtre Le Rio,17 Janvier 2026 à 19:30,20 TND,https://teskerti.tn/evenement/reves-comedie-noire-de-jalila-baccar-et-fadhel-jaibi-le-17-jan,Tunis,2026-01-17T21:22:07.566236
SALADE CÉSAR ONE MAN SHOW,Théâtre des régions,18 Janvier 2026 à 19:00,20 TND,https://teskerti.tn/evenement/salade-cesar-one-man-show,Tunis,2026-01-17T21:22:07.617955
TOUNSI W NOSS,Zéphyr La Marsa,23 Janvier 2026 à 20:00,25 TND,https://teskerti.tn/evenement/tounsi-w-noss,Tunis,2026-01-17T21:22:07.666901
LE MONDE CHANTE FOOTBALL,Théâtre des régions,24 Janvier 2026 à 19:00,40 TND,https://teskerti.tn/evenement/le-monde-chante-football,Tunis,2026-01-17T21:22:07.711790
TWERAKH TOUNES,Théâtre des régions,26 Janvier 2026 à 19:30,50 TND,https://teskerti.tn/evenement/twerakh-tounes,Tunis,2026-01-17T21:22:07.755977
JUNGLE BOOK CIRCUS,Parc Montazah de Carthage,29 Janvier 2026 à 18:00,20 TND,https://teskerti.tn/evenement/jungle-book-circus,Tunis,2026-01-17T21:22:07.800513
HASSEN DOSS | SOUSSE,Théâtre Municipal de Sousse,29 Janvier 2026 à 19:00,35 TND,https://teskerti.tn/evenement/hassen-doss-sousse,Sousse,2026-01-17T21:22:07.842516
BIN EL KASSERINE,Théâtre municipal de sfax,30 Janvier 2026 à 19:00,25 TND,https://teskerti.tn/evenement/bin-el-kasserine,Tunis,2026-01-17T21:22:07.883946
KOLNA NGHANI | SFAX,Théâtre municipal de sfax,31 Janvier 2026 à 19:30,N/A,https://teskerti.tn/evenement/kolna-nghani-sfax,Sfax,2026-01-17T21:22:07.922818
SPECTACLE VISA DE KARIM GHARBI | MONASTIR,Palais Des Sciences De Monastir,31 Janvier 2026 à 19:30,25 TND,https://teskerti.tn/evenement/spectacle-visa-de-karim-gharbi-monastir,Monastir,2026-01-17T21:22:07.965688
SPECTACLE TOUNSI WOU NOSS - MEHDIA,Salle Des Fêtes Honeymoon,01 Février 2026 à 18:30,21.5 TND,https://teskerti.tn/evenement/spectacle-tounsi-wou-noss-mehdia,Mahdia,2026-01-17T21:22:08.021260
EL DAHEEH,Palais des Congrès,01 Février 2026 à 19:30,64.5 TND,https://teskerti.tn/evenement/el-daheeh,Tunis,2026-01-17T21:22:08.067158
ABBA SYMPHONIA 2ND DATE,Théâtre de l'opéra,07 Février 2026 à 19:30,38 TND,https://teskerti.tn/evenement/abba-symphonia-2nd-date,Tunis,2026-01-17T21:22:08.117462
